LRU,ATA,Message,Comp ID,Message1,Fault Logged,Status,Message Type,EICAS,Timer,Logic,Equation Description,Equation ID,Occurance Flag,Days Count,Priority,MHIRJ ISE Recommended Action,Additional Comments,MHIRJ ISE inputs,MEL or No-Dispatch
,21-31,1,A106,NO CPC-1 BUS OUTPUT,"AIR,TAXI",OFF/NO OUTPUT,Fault Message,AUTO PRESS 1 FAIL (white),3,"[2 OF DCU3-40, DCU2-39, DCU1-39] AND [1 OF CPCP-7,CPC2-8]",DCUs are not receiving any Arinc429 data from the Left CPC. Thecontroller has at least oneconnector OFF or is not installedor not powered.,B1-006127,0,0,0,0,0,0,0
CPC 1,21-31,2,A106,NO CPC-1 BUS TO DCU,"AIR,TAXI",OFF/NO OUTPUT,Fault Message,AUTO PRESS 1 FAIL (white),10,"[2 OF DCU3-40, DCU2-39, DCU1-39]",DCUs are not receiving any Arinc429 data from the Left CPC. Thecontroller has at least oneconnector OFF or is not installedor not powered.,B1-006128,0,0,0,0,0,0,0
CPC 1,21-31,3,A106,INTERNAL PRESS SNSR FAIL,"AIR,TAXI",FAILED,Fault Message,AUTO PRESS 1 FAIL (white),10,CPC1-4,Failure has been detected in thepressure acquisition chain. CPC isnot able to control cabin pressureany more.,B1-006129,0,0,0,0,0,0,0
CPC 1,21-31,4,A106,NO LA&RA-IOC-6 BUS INPUT,"AIR,TAXI",FAILED/WIRING,Fault Message,AUTO PRESS 1 FAIL (white),10,CPC1-6 AND CPC1-7,ARINC 429 data is missing on thebus or no data is received oninputs from both IOC busses. Theproblem may be either data missingon the bus or the busitself(wiring).,B1-006130,0,0,0,0,0,0,0
CPC 1,21-31,5,A106,NO OUTFLOW VLV BUS INPUT,"AIR,TAXI",LRU OK / INFO,Fault Message,AUTO PRESS 1 FAIL (white),10,CPC1-11,No data is received on RS422 inputfrom the Outflow valve.,B1-006131,0,0,0,0,0,0,0
CPC 1,21-31,6,A106,AUTO1 DISABLE FAULT,"AIR,TAXI",FAILED/WIRING,Fault Message,AUTO PRESS 1 FAIL (WHITE),3,CPC1-12,"Discrete disable signal of theautomatic channel 1 is no moreoperative, however the valve maystill remain operative",B1-006132,0,0,0,0,0,0,0
CPC 1,21-31,7,A106,NO CPC-2 BUS INPUT,"AIR,TAXI",LRU OK / INFO,Fault Message,AUTO PRESS 1 FAIL (white),10,CPC1-8,No data is received on Arinc 429input from the CPC 2.,B1-006133,0,0,0,0,0,0,0
CPC 1,21-31,8,A106,LDG ELEV SIGNAL FAULT,"AIR,TAXI",FAILED/WIRING,Fault Message,AUTO PRESS 1 FAIL (white),10,CPC1-14,CPC 1 is not able to read thecockpit panel Landing Elevationselection. Failure in theacquisition chain occurred.,B1-006134,0,0,0,0,0,0,0
CPC 1,21-31,9,A106,AUTO1 DISABLE FAULT,"AIR,TAXI",FAILED/WIRING,Fault Message,AUTO PRESS 1 FAIL (white),10,CPC1-12,"Discrete disable signal of theautomatic channel 1 is no moreoperative, however the valve maystill remain operative.",B1-006135,0,0,0,0,0,0,0
CPC 1,21-31,10,A106,NO CPCP BUS INPUT,"AIR,TAXI",LRU OK / INFO,Service Message,,10,CPC1-9,No data is received on Arinc 429input from the Cabin PressureControl Panel.,B1-006136,0,0,0,0,0,0,0
CPC 1,21-31,11,A106,NO LA-IOC-6 BUS INPUT,"AIR,TAXI",LRU OK / INFO,Service Message,,15,CPC1-6 AND NOT IC1A-1,ARINC 429 data is either missingor no data is received on inputfrom LA-IOC. The problem may beeither data missing on the bus orthe bus itself(wiring).,B1-006137,0,0,0,0,0,0,0
CPC 1,21-31,12,A106,NO RA-IOC-6 BUS INPUT,"AIR,TAXI",LRU OK / INFO,Service Message,,15,CPC1-7 AND NOT IC2A-1,ARINC 429 data is either missingor no data is received on inputfrom RA-IOC. The problem may beeither data missing on the bus orthe bus itself (wiring).,B1-006138,0,0,0,0,0,0,0
CPC 1,21-31,13,A106,INVALID CONFIG STRAPPING,"AIR,TAXI",LRU OK / INFO,Service Message,,10,CPC1-3,Pin Programming disagree has beendetected by CPC 1.,B1-006139,0,0,0,0,0,0,0
CPC 1,21-31,14,A106,INTERNAL FAULT,"AIR,TAXI",FAILED,Service Message,,10,CPC1-5,Some component failure has beendetected. This failure does notcompletely prevent the CPC 1 tooperate the systems.,B1-006140,0,0,0,0,0,0,0
CPC 2,21-31,1,A107,NO CPC-2 BUS OUTPUT,"AIR,TAXI",OFF/NO OUTPUT,Fault Message,AUTO PRESS 2 FAIL (white),3,"[2 OF DCU1-40, DCU2-40, DCU3-41] AND [1 OF CPC1-8,CPCP-8]",DCUs are not receiving any Arinc429 data from the Right CPC. Thecontroller has at least oneconnector OFF or is not installedor not powered.,B1-006141,0,0,0,0,0,0,0
CPC 2,21-31,2,A107,NO CPC-2 BUS TO DCU,"AIR,TAXI",OFF/NO OUTPUT,Fault Message,AUTO PRESS 2 FAIL (white),10,"[2 OF DCU1-40, DCU2-40, DCU3-41]",DCUs are not receiving any Arinc429 data from the Right CPC. Thecontroller has at least oneconnector OFF or is not installedor not powered.,B1-006142,0,0,0,0,0,0,0
CPC 2,21-31,3,A107,INTERNAL PRESS SNSR FAIL,"AIR,TAXI",FAILED,Fault Message,AUTO PRESS 2 FAIL (white),10,CPC2-4,Failure has been detected in thepressure acquisition chain. CPC isnot able to control cabin pressureany more.,B1-006143,0,0,0,0,0,0,0
CPC 2,21-31,4,A107,NO LB&RB-IOC-6 BUS INPUT,"AIR,TAXI",FAILED/WIRING,Fault Message,AUTO PRESS 2 FAIL (white),10,CPC2-6 AND CPC2-7,ARINC 429 data is missing on thebus or no data is received oninputs from both IOC busses. Theproblem may be either data missingon the bus or the bus itself(wiring).,B1-006144,0,0,0,0,0,0,0
CPC 2,21-31,5,A107,AUTO2 DISABLE FAULT,"AIR,TAXI",LRU OK / INFO,Fault Message,,3,CPC2-12,"Discrete disable signal of theautomatic channel 2 is no moreoperative, however the valve stillremains operative.",B1-006145,0,0,0,0,0,0,0
CPC 2,21-31,6,A107,NO OUTFLOW VLV BUS INPUT,"AIR,TAXI",FAILED/WIRING,Fault Message,AUTO PRESS 2 FAIL (white),10,CPC2-11,No data is received on RS422 inputfrom the Outflow valve.,B1-006146,0,0,0,0,0,0,0
CPC 2,21-31,7,A107,NO CPC-1 BUS INPUT,"AIR,TAXI",FAILED/WIRING,Fault Message,AUTO PRESS 2 FAIL (white),10,CPC2-8,No data is received on Arinc 429input from the CPC 1.,B1-006147,0,0,0,0,0,0,0
CPC 2,21-31,8,A107,LDG ELEV SIGNAL FAULT,"AIR,TAXI",FAILED/WIRING,Fault Message,AUTO PRESS 2 FAIL (S),10,CPC2-14,CPC 2 is not able to read thecockpit panel Landing Elevationselection. Failure in theacquisition chain occurred.,B1-006148,0,0,1,"Follow FIM 21−31−04−810−820:
1. Control panel
2. Wiring
3. CPC",CPCP internal pressure sensor failure,"MDT logic: CPC2 (SDI10) L350b24 set = Land Elev Selection 1 Fail
CPCP internal pressure sensor failure .
",21-31-01
CPC 2,21-31,9,A107,AUTO2 DISABLE FAULT,"AIR,TAXI",LRU OK / INFO,Fault Message,AUTO PRESS 2 FAIL (white),10,CPC2-12,"Discrete disable signal of theautomatic channel 2 is no moreoperative, however the valve stillremains operative.",B1-006149,0,0,0,0,0,0,0
CPC 2,21-31,10,A107,NO CPCP BUS INPUT,"AIR,TAXI",LRU OK / INFO,Service Message,,10,CPC2-9,No data is received on Arinc 429input from the Cabin PressureControl Panel.,B1-006150,0,0,0,0,0,0,0
CPC 2,21-31,11,A107,NO LB-IOC-6 BUS INPUT,"AIR,TAXI",LRU OK / INFO,Service Message,,15,CPC2-6 AND NOT IC1B-1,ARINC 429 data is either missingor no data is received on inputfrom LB-IOC. The problem may beeither data missing on the bus orthe bus itself (wiring).,B1-006151,0,0,0,0,0,0,0
CPC 2,21-31,12,A107,NO RB-IOC-6 BUS INPUT,"AIR,TAXI",LRU OK / INFO,Service Message,,15,CPC2-7 AND NOT IC2B-1,ARINC 429 data is either missingor no data is received on inputfrom RB-IOC. The problem may beeither data missing on the bus orthe bus itself (wiring).,B1-006152,0,0,0,0,0,0,0
CPC 2,21-31,13,A107,INVALID CONFIG STRAPPING,"AIR,TAXI",LRU OK / INFO,Service Message,,10,CPC2-3,Pin Programming disagree has beendetected by CPC 2.,B1-006153,0,0,0,0,0,0,0
CPC 2,21-31,14,A107,INTERNAL FAULT,"AIR,TAXI",FAILED,Service Message,,10,CPC2-5,Some component failure has beendetected. This failure does notcompletely prevent the CPC 2 tooperate the systems.,B1-006154,0,0,0,0,0,0,0
CPC PNL,21-31,1,PL009,NO CPCP BUS OUTPUT,"AIR,TAXI",OFF/NO OUTPUT,Fault Message,CPAM FAIL (white),3,"[2 OF DCU1-42, DCU2-42, DCU3-43] AND [1 OF CPC1-9,CPC2-9]",DCUs are not receiving any Arinc429 data from CPC Panel. Thecontroller has at least oneconnector OFF or is not installedor not powered.,B1-006155,0,0,0,0,0,0,0
CPC PNL,21-31,2,PL009,NO CPCP BUS TO DCU,"AIR,TAXI",OFF/NO OUTPUT,Fault Message,CPAM FAIL (white),10,"[2 OF DCU1-42, DCU2-42, DCU3-43]",DCUs are not receiving any Arinc429 data from CPC Panel. Thecontroller has at least oneconnector OFF or is not installedor not powered.,B1-006156,0,0,0,0,0,0,0
CPC PNL,21-31,3,PL009,ALT LIMIT FUNCTION INOP,"AIR,TAXI",FAILED,Fault Message,ALT LIMITER (amber),10,CPCP-9,Manual outflow valvesactuator/wiring or Altitudelimitation hardware function havebeen detected inoperative duringPower-up test.,B1-006157,0,0,0,0,0,0,0
CPC PNL,21-31,4,PL009,INTERNAL PRESS SNSR FAIL,"AIR,TAXI",FAILED,Fault Message,ALT LIMITER (amber),10,CPCP-3,Failure has been detected in thepressure acquisition chain. CPCPis not able to provide cabinpressure data any more.,B1-006158,0,0,0,0,0,0,0
CPC PNL,21-31,5,PL009,NO LA&RA-IOC-6 BUS INPUT,"AIR,TAXI",FAILED/WIRING,Fault Message,CPAM FAIL (white),10,CPCP-5 AND CPCP-6,ARINC 429 data is either missingor no data is received on inputsfrom both IOC busses. The problemmay be either data missing on thebus or the bus itself (wiring).,B1-006159,0,0,0,0,0,0,0
CPC PNL,21-31,6,PL009,NO CPC-1 BUS INPUT,"AIR,TAXI",LRU OK / INFO,Service Message,,10,CPCP-7,No data received on Arinc 429input from the CPC 1.,B1-006160,0,0,0,0,0,0,0
CPC PNL,21-31,7,PL009,NO CPC-2 BUS INPUT,"AIR,TAXI",LRU OK / INFO,Service Message,,10,CPCP-8,No data received on Arinc 429input from the CPC 2.,B1-006161,0,0,0,0,0,0,0
CPC PNL,21-31,8,PL009,NO LA-IOC-6 BUS INPUT,"AIR,TAXI",LRU OK / INFO,Service Message,,15,CPCP-5 AND NOT IC1A-1,ARINC 429 data is either missingor no data is received on inputfrom LA-IOC. The problem may beeither data missing on the bus orthe bus itself (wiring).,B1-006162,0,0,0,0,0,0,0
