ATA ,"CRJ
700",CRJ 900,"CRJ
1000","MDC 
B1-Code ",LRU,Msg type,Phase logged,EICAS / FDE,MDC Msg,FIM Task Reference,In-Service BA document,Title,Known nuisance,Remarks
21,Y,Y,Y,B1-005812,ACSC1,Fault,"AIR, TAXI",NIL,"INTERNAL FAULT
(ACSC1)",21−61−04−810−816 ,CRJ700/900-SL-21-018,MDC Nuisance Indication On Power Up,Y,Nuisance on ACSC1 / Reset Procedure
21,Y,Y,Y,B1-005827,ACSC1,Service,"AIR, TAXI",NIL,"INTERNAL FAULT
(ACSC1)",,CRJ700/900-SL-21-030,Internal Fault posted by #1 Air Conditioning System Controller,Y,Nuisance on ACSC1 / Reset Procedure
21,Y,Y,Y,B1-005843,ACSC2,Service,"AIR, TAXI",NIL,"INTERNAL FAULT 
(ACSC2)",21−61−04−810−832,None,,N,Crosscheck with PIREPS / Follow FIM
21,Y,Y,Y,B1-005844,ACSC2,Fault,"AIR, TAXI",NIL,"INTERNAL FAULT 
(ACSC2)",21−61−04−810−832,None,,N,Crosscheck with PIREPS / Follow FIM
21,Y,Y,Y,B1-006170,CPCV2 GND VLV,Fault,"AIR, TAXI","OVBD COOL (C)
OVBD COOL FAIL (S)",NO CONTROL/POS DISAGREE ,21−24−18−810−803/804,CRJ700/900-SL-21-015,"OVBD COOL (C), OVBD COOL FAIL (S) EICAS Messages",Y,Troubleshooting tips / FIM INTRO  Intermittent  List.
21,Y,Y,Y,B1-006171,CPCV3 SFTY VLV1,Service,"AIR, TAXI",NIL,OPEN POSITION SIGNAL,21−32−03−810−801,ISAR 2006-10-2130,Pressurization Safety Valve - Insulation Displacement,N,Insulation blankets may obstruct valve
21,Y,Y,Y,B1-006172,"CPCV4 SFTY
VLV2",Service,"AIR, TAXI",NIL,OPEN POSITION SIGNAL,21−32−03−810−802,ISAR 2006-10-2130,Pressurization Safety Valve - Insulation Displacement,N,Insulation blankets may obstruct valve
21,Y,Y,Y,B1-006083,AVFAN,Fault,"AIR, TAXI",AVIONICS FAN (C)  ,AVIONICS FAN 1 FAIL,21−24−16−810−803,None,,N,"Crosscheck with PIREPS / EICAS
Follow FIM"
21,Y,Y,Y,B1-007230,LO FLOW SNSR,Fault,"AIR, TAXI",DISPLAY COOL (C)  ,DISPLAY COOLING LOW FLOW ,21−24−14−810−801,None,,N,"Crosscheck with PIREPS / EICAS
Follow FIM"
21,Y,Y,Y,B1-006414,DISP FAN1 ,Fault,"AIR, TAXI",DISPLAY COOL (C)  ,"LOW FAN SPEED
(DISP FAN1)",21−24−12−810−801,None,,N,"Crosscheck with PIREPS / EICAS
Follow FIM"
